TempID,10020912,RRI Analyzer Ver1.0.49,âêÕÉâÉCÉuÉâÉä Ver1.1.3
RRI
acc_mode,
Time,RRI,temperature,Acc_x,Acc_y,Acc_z,HR_Instant,Body Motion
2023/12/12 15:45:52.848,667,32,0.09375,-0.96875,0.375,89,0.04301995
2023/12/12 15:45:53.523,675,32.0625,0.0625,-0.96875,0.375,88,0.04067661
2023/12/12 15:45:54.240,717,32.0625,0.0625,-1,0.375,83,0.06982767
2023/12/12 15:45:54.941,702,32.0625,0.0625,-0.96875,0.34375,85,0.02982857
2023/12/12 15:45:55.611,671,32.0625,0.09375,-1,0.375,89,0.0721073
2023/12/12 15:45:56.295,685,32.0625,0.0625,-0.96875,0.34375,87,0.02982857
2023/12/12 15:45:57.009,713,32.0625,0.09375,-1,0.34375,84,0.06158048
2023/12/12 15:45:57.721,712,32.0625,0.09375,-1,0.375,84,0.0721073
2023/12/12 15:45:58.416,695,32.0625,0.09375,-1,0.375,86,0.0721073
2023/12/12 15:45:59.092,677,32.0625,0.09375,-1,0.375,88,0.0721073
2023/12/12 15:45:59.768,677,32.0625,0.09375,-1,0.34375,88,0.06158048
2023/12/12 15:46:00.465,698,32.0625,0.0625,-1,0.375,85,0.06982767
2023/12/12 15:46:01.155,691,32,0.09375,-1,0.34375,86,0.06158048
2023/12/12 15:46:01.834,679,32,0.09375,-1,0.375,88,0.0721073
2023/12/12 15:46:02.505,671,32,0.0625,-0.96875,0.34375,89,0.02982857
2023/12/12 15:46:03.199,695,32,0.0625,-1,0.34375,86,0.0592782
2023/12/12 15:46:03.890,691,32,0.0625,-0.96875,0.375,86,0.04067661
2023/12/12 15:46:04.561,671,32,0.09375,-1,0.375,89,0.0721073
2023/12/12 15:46:05.228,666,32.0625,0.09375,-0.96875,0.375,90,0.04301995
2023/12/12 15:46:05.921,691,32.0625,0.0625,-1,0.34375,86,0.0592782
2023/12/12 15:46:06.608,685,32.0625,0.09375,-1,0.375,87,0.0721073
2023/12/12 15:46:07.281,673,32.0625,0.09375,-0.96875,0.375,89,0.04301995
2023/12/12 15:46:07.957,676,32.0625,0.09375,-1,0.34375,88,0.06158048
2023/12/12 15:46:08.657,700,32.0625,0.0625,-1,0.375,85,0.06982767
2023/12/12 15:46:09.353,695,32.0625,0.0625,-0.96875,0.375,86,0.04067661
2023/12/12 15:46:10.026,671,32.0625,0.0625,-0.96875,0.375,89,0.04067661
2023/12/12 15:46:10.697,669,32.0625,0.09375,-1,0.34375,89,0.06158048
2023/12/12 15:46:11.382,687,32.0625,0.09375,-1,0.34375,87,0.06158048
2023/12/12 15:46:12.064,683,32.0625,0.09375,-1,0.34375,87,0.06158048
2023/12/12 15:46:12.743,680,32.0625,0.09375,-0.96875,0.375,88,0.04301995
2023/12/12 15:46:13.414,672,32.0625,0.09375,-0.96875,0.375,89,0.04301995
2023/12/12 15:46:14.078,666,32.0625,0.0625,-0.96875,0.34375,90,0.02982857
2023/12/12 15:46:14.751,675,32.0625,0.09375,-1,0.34375,88,0.06158048
2023/12/12 15:46:15.406,653,32.0625,0.0625,-1,0.34375,91,0.0592782
2023/12/12 15:46:16.055,648,32.0625,0.09375,-0.96875,0.34375,92,0.03219654
2023/12/12 15:46:16.705,649,32.0625,0.0625,-0.96875,0.34375,92,0.02982857
2023/12/12 15:46:17.346,641,32,0.09375,-0.96875,0.375,93,0.04301995
2023/12/12 15:46:17.981,634,32,0.09375,-0.96875,0.375,94,0.04301995
2023/12/12 15:46:18.615,633,32,0.09375,-1,0.34375,94,0.06158048
2023/12/12 15:46:19.256,641,32,0.0625,-1,0.34375,93,0.0592782
2023/12/12 15:46:19.903,648,32,0.0625,-1,0.34375,92,0.0592782
2023/12/12 15:46:20.553,651,32,0.09375,-1,0.375,92,0.0721073
2023/12/12 15:46:21.193,641,32,0.09375,-0.96875,0.375,93,0.04301995
2023/12/12 15:46:21.836,643,32,0.09375,-1,0.375,93,0.0721073
2023/12/12 15:46:22.481,645,32,0.0625,-1,0.34375,93,0.0592782
2023/12/12 15:46:23.136,657,32,0.0625,-1,0.34375,91,0.0592782
2023/12/12 15:46:23.791,656,32,0.09375,-0.96875,0.375,91,0.04301995
2023/12/12 15:46:24.441,651,32,0.09375,-0.96875,0.375,92,0.04301995
2023/12/12 15:46:25.093,647,32,0.0625,-0.96875,0.375,92,0.04067661
2023/12/12 15:46:25.753,654,32,0.09375,-0.96875,0.34375,91,0.03219654
2023/12/12 15:46:26.424,665,32,0.0625,-1,0.34375,90,0.0592782
2023/12/12 15:46:27.078,659,32,0.0625,-1,0.375,91,0.06982767
2023/12/12 15:46:27.723,650,32,0.09375,-0.96875,0.375,92,0.04301995
2023/12/12 15:46:28.368,650,32,0.09375,-1,0.34375,92,0.06158048
2023/12/12 15:46:29.025,659,32,0.09375,-1,0.34375,91,0.06158048
2023/12/12 15:46:29.683,660,32,0.0625,-1,0.375,90,0.06982767
2023/12/12 15:46:30.335,654,32,0.09375,-1,0.375,91,0.0721073
2023/12/12 15:46:30.986,648,32,0.09375,-0.96875,0.375,92,0.04301995
2023/12/12 15:46:31.647,659,32,0.0625,-1,0.375,91,0.06982767
2023/12/12 15:46:32.327,678,32,0.0625,-1,0.34375,88,0.0592782
2023/12/12 15:46:32.999,673,32.0625,0.09375,-1,0.375,89,0.0721073
2023/12/12 15:46:33.664,667,32.0625,0.09375,-0.96875,0.375,89,0.04301995
2023/12/12 15:46:34.320,658,32.0625,0.09375,-0.96875,0.375,91,0.04301995
2023/12/12 15:46:34.995,673,32.0625,0.09375,-0.96875,0.375,89,0.04301995
2023/12/12 15:46:35.694,697,32.0625,0.09375,-1,0.375,86,0.0721073
2023/12/12 15:46:36.400,704,32.0625,0.0625,-1,0.34375,85,0.0592782
2023/12/12 15:46:37.094,695,32.0625,0.09375,-1,0.34375,86,0.06158048
2023/12/12 15:46:37.771,678,32.0625,0.09375,-1,0.375,88,0.0721073
2023/12/12 15:46:38.440,670,32.0625,0.09375,-1,0.375,89,0.0721073
2023/12/12 15:46:39.123,684,32.0625,0.0625,-1,0.34375,87,0.0592782
2023/12/12 15:46:39.812,690,32.0625,0.0625,-1,0.34375,86,0.0592782
