TempID,10020912,RRI Analyzer Ver1.0.49,âêÕÉâÉCÉuÉâÉä Ver1.1.3
RRI
acc_mode,
Time,RRI,temperature,Acc_x,Acc_y,Acc_z,HR_Instant,Body Motion
2024/01/20 12:33:50.161,904,32.875,0.125,-1.0625,0.0625,66,0.07165176
2024/01/20 12:33:51.067,906,32.875,0.125,-1.0625,0.0625,66,0.07165176
2024/01/20 12:33:51.944,877,32.875,0.125,-1.0625,0.0625,68,0.07165176
2024/01/20 12:33:52.755,812,32.875,0.125,-1.03125,0.0625,73,0.04067661
2024/01/20 12:33:53.609,855,32.875,0.125,-1.0625,0.0625,70,0.07165176
2024/01/20 12:33:54.479,871,32.8125,0.125,-1.0625,0.0625,68,0.07165176
2024/01/20 12:33:55.354,874,32.8125,0.125,-1.0625,0.0625,68,0.07165176
2024/01/20 12:33:56.170,816,32.8125,0.125,-1.0625,0.0625,73,0.07165176
2024/01/20 12:33:56.969,799,32.8125,0.125,-1.0625,0.0625,75,0.07165176
2024/01/20 12:33:57.800,832,32.8125,0.125,-1.0625,0.0625,72,0.07165176
2024/01/20 12:33:58.647,847,32.8125,0.125,-1.0625,0.0625,70,0.07165176
2024/01/20 12:33:59.489,842,32.8125,0.125,-1.0625,0.0625,71,0.07165176
2024/01/20 12:34:00.270,782,32.8125,0.125,-1.03125,0.0625,76,0.04067661
2024/01/20 12:34:01.074,804,32.8125,0.125,-1.03125,0.0625,74,0.04067661
2024/01/20 12:34:01.943,869,32.8125,0.125,-1.0625,0.0625,69,0.07165176
2024/01/20 12:34:02.859,914,32.8125,0.125,-1.0625,0.0625,65,0.07165176
2024/01/20 12:34:03.782,922,32.8125,0.125,-1.0625,0.0625,65,0.07165176
2024/01/20 12:34:04.639,856,32.8125,0.125,-1.0625,0.0625,70,0.07165176
2024/01/20 12:34:05.427,788,32.8125,0.125,-1.0625,0.0625,76,0.07165176
2024/01/20 12:34:06.221,795,32.8125,0.125,-1.0625,0.0625,75,0.07165176
2024/01/20 12:34:07.079,859,32.8125,0.125,-1.03125,0.0625,69,0.04067661
2024/01/20 12:34:08.025,941,32.8125,0.125,-1.0625,0.0625,63,0.07165176
2024/01/20 12:34:09.010,981,32.8125,0.125,-1.0625,0.0625,61,0.07165176
2024/01/20 12:34:09.969,955,32.8125,0.125,-1.03125,0.0625,62,0.04067661
2024/01/20 12:34:10.800,833,32.8125,0.125,-1.0625,0.0625,72,0.07165176
2024/01/20 12:34:11.673,874,32.8125,0.125,-1.0625,0.0625,68,0.07165176
2024/01/20 12:34:12.607,935,32.8125,0.125,-1.0625,0.0625,64,0.07165176
2024/01/20 12:34:13.573,970,32.8125,0.125,-1.0625,0.0625,61,0.07165176
2024/01/20 12:34:14.476,907,32.8125,0.125,-1.0625,0.0625,66,0.07165176
2024/01/20 12:34:15.320,848,32.8125,0.125,-1.0625,0.0625,70,0.07165176
2024/01/20 12:34:16.225,904,32.8125,0.125,-1.0625,0.0625,66,0.07165176
2024/01/20 12:34:17.182,956,32.8125,0.125,-1.03125,0.0625,62,0.04067661
2024/01/20 12:34:18.128,945,32.875,0.125,-1.0625,0.0625,63,0.07165176
2024/01/20 12:34:18.982,854,32.875,0.125,-1.0625,0.0625,70,0.07165176
2024/01/20 12:34:19.875,893,32.875,0.125,-1.0625,0.0625,67,0.07165176
2024/01/20 12:34:20.792,917,32.875,0.125,-1.0625,0.0625,65,0.07165176
2024/01/20 12:34:21.701,907,32.875,0.125,-1.0625,0.0625,66,0.07165176
2024/01/20 12:34:22.575,872,32.8125,0.125,-1.0625,0.0625,68,0.07165176
2024/01/20 12:34:23.521,944,32.8125,0.125,-1.03125,0.0625,63,0.04067661
2024/01/20 12:34:24.481,962,32.8125,0.125,-1.0625,0.0625,62,0.07165176
2024/01/20 12:34:25.398,918,32.8125,0.125,-1.0625,0.0625,65,0.07165176
2024/01/20 12:34:26.232,835,32.8125,0.125,-1.0625,0.0625,71,0.07165176
2024/01/20 12:34:27.079,848,32.8125,0.125,-1.0625,0.0625,70,0.07165176
2024/01/20 12:34:28.027,949,32.8125,0.125,-1.0625,0.0625,63,0.07165176
2024/01/20 12:34:29.008,982,32.8125,0.125,-1.0625,0.0625,61,0.07165176
2024/01/20 12:34:29.975,966,32.8125,0.125,-1.0625,0.0625,62,0.07165176
2024/01/20 12:34:30.831,855,32.8125,0.125,-1.0625,0.0625,70,0.07165176
2024/01/20 12:34:31.712,880,32.8125,0.125,-1.0625,0.0625,68,0.07165176
2024/01/20 12:34:32.651,940,32.8125,0.125,-1.0625,0.0625,63,0.07165176
2024/01/20 12:34:33.637,987,32.8125,0.125,-1.0625,0.0625,60,0.07165176
2024/01/20 12:34:34.552,916,32.8125,0.125,-1.0625,0.0625,65,0.07165176
2024/01/20 12:34:35.419,868,32.8125,0.125,-1.0625,0.0625,69,0.07165176
2024/01/20 12:34:36.402,984,32.8125,0.125,-1.0625,0.0625,60,0.07165176
2024/01/20 12:34:37.344,943,32.8125,0.125,-1.0625,0.0625,63,0.07165176
2024/01/20 12:34:38.184,840,32.8125,0.125,-1.0625,0.0625,71,0.07165176
2024/01/20 12:34:39.043,859,32.8125,0.125,-1.0625,0.0625,69,0.07165176
2024/01/20 12:34:40.007,964,32.8125,0.125,-1.0625,0.0625,62,0.07165176
2024/01/20 12:34:41.006,998,32.8125,0.125,-1.0625,0.0625,60,0.07165176
2024/01/20 12:34:42.000,994,32.8125,0.125,-1.0625,0.0625,60,0.07165176
2024/01/20 12:34:42.880,880,32.875,0.125,-1.0625,0.0625,68,0.07165176
2024/01/20 12:34:43.728,848,32.875,0.125,-1.0625,0.0625,70,0.07165176
2024/01/20 12:34:44.609,881,32.875,0.125,-1.0625,0.0625,68,0.07165176
2024/01/20 12:34:45.505,896,32.875,0.125,-1.0625,0.0625,66,0.07165176
2024/01/20 12:34:46.407,901,32.8125,0.125,-1.0625,0.0625,66,0.07165176
2024/01/20 12:34:47.234,825,32.8125,0.125,-1.0625,0.0625,72,0.07165176
2024/01/20 12:34:48.017,781,32.8125,0.125,-1.0625,0.0625,76,0.07165176
2024/01/20 12:34:48.798,783,32.8125,0.125,-1.0625,0.0625,76,0.07165176
2024/01/20 12:34:49.656,859,32.8125,0.125,-1.03125,0.0625,69,0.04067661
2024/01/20 12:34:50.601,946,32.8125,0.125,-1.0625,0.0625,63,0.07165176
2024/01/20 12:34:51.574,973,32.8125,0.125,-1.0625,0.0625,61,0.07165176
2024/01/20 12:34:52.514,939,32.8125,0.125,-1.03125,0.0625,63,0.04067661
2024/01/20 12:34:53.384,869,32.8125,0.125,-1.03125,0.0625,69,0.04067661
2024/01/20 12:34:54.372,990,32.875,0.125,-1.0625,0.0625,60,0.07165176
2024/01/20 12:34:55.380,1010,32.875,0.125,-1.0625,0.0625,59,0.07165176
