Time,LF,HF,VLF,ULF,LF/HF,LF/(LF+HF),LFnorm,HFnorm,TotalPower
34:50.6,182.3021,1979.785,0,0,0.09208177,0,0,0,0
34:51.6,164.2498,1991.212,0,0,0.08248737,0,0,0,0
34:52.5,151.7084,2004.739,0,0,0.07567489,0,0,0,0
34:53.4,142.5261,2022.074,0,0,0.07048511,0,0,0,0
34:54.4,137.8567,2043.548,0,0,0.06745947,0,0,0,0
34:55.4,139.1659,2070.873,0,0,0.06720153,0,0,0,0
34:56.4,146.5643,2097.247,0,0,0.06988413,0,0,0,0
34:57.3,162.1375,2128.135,0,0,0.07618761,0,0,0,0
34:58.2,181.6092,2154.811,0,0,0.08428081,0,0,0,0
34:59.1,211.182,2185.839,0,0,0.09661371,0,0,0,0
35:00.0,244.3516,2212.959,0,0,0.1104185,0,0,0,0
35:00.9,291.5707,2243.479,0,0,0.1299637,0,0,0,0
35:01.8,343.1669,2269.417,0,0,0.1512137,0,0,0,0
35:02.6,392.9136,2289.426,0,0,0.171621,0,0,0,0
35:03.5,458.7161,2310.186,0,0,0.1985624,0,0,0,0
35:04.4,523.9253,2325.582,0,0,0.2252878,0,0,0,0
35:05.3,606.4995,2339.383,0,0,0.2592562,0,0,0,0
35:06.3,697.6771,2348.524,0,0,0.2970705,0,0,0,0
35:07.2,791.0958,2352.457,0,0,0.3362849,0,0,0,0
35:08.1,875.6275,2351.515,0,0,0.3723674,0,0,0,0
35:09.0,967.7698,2346.138,0,0,0.4124949,0,0,0,0
35:09.9,1068.837,2335.128,0,0,0.4577211,0,0,0,0
35:10.9,1159.444,2320.859,0,0,0.4995754,0,0,0,0
35:11.8,1256.226,2300.81,0,0,0.5459929,0,0,0,0
35:12.6,1335.879,2280.143,0,0,0.5858751,0,0,0,0
35:13.4,1408.211,2257.901,0,0,0.6236817,0,0,0,0
35:14.3,1480.923,2231.304,0,0,0.6637031,0,0,0,0
35:15.2,1548.623,2201.184,0,0,0.7035408,0,0,0,0
35:16.2,1610.816,2165.918,0,0,0.7437107,0,0,0,0
35:17.1,1657.339,2135.037,0,0,0.7762578,0,0,0,0
35:18.0,1692.71,2103.392,0,0,0.8047526,0,0,0,0
35:18.9,1719.833,2068.679,0,0,0.8313678,0,0,0,0
35:19.8,1733.813,2034.311,0,0,0.8522853,0,0,0,0
35:20.8,1734.924,2003.535,0,0,0.8659316,0,0,0,0
35:21.6,1724.226,1973.873,0,0,0.8735242,0,0,0,0
35:22.5,1705.038,1949.782,0,0,0.874476,0,0,0,0
35:23.4,1670.386,1923.663,0,0,0.8683359,0,0,0,0
35:24.3,1631.031,1903.888,0,0,0.8566841,0,0,0,0
35:25.2,1576.39,1884.644,0,0,0.8364389,0,0,0,0
35:26.0,1523.042,1871.434,0,0,0.8138365,0,0,0,0
35:26.9,1462.946,1861.01,0,0,0.7861034,0,0,0,0
35:27.8,1388.959,1852.554,0,0,0.7497535,0,0,0,0
35:28.7,1310.264,1848.167,0,0,0.7089533,0,0,0,0
35:29.6,1234.33,1846.974,0,0,0.6682986,0,0,0,0
35:30.4,1167.258,1848.069,0,0,0.6316094,0,0,0,0
35:31.2,1101.128,1851.087,0,0,0.5948549,0,0,0,0
35:32.1,1024.646,1856.062,0,0,0.5520536,0,0,0,0
35:33.0,944.5846,1863.03,0,0,0.5070152,0,0,0,0
35:34.0,863.4939,1871.243,0,0,0.4614546,0,0,0,0
35:34.9,791.736,1878.795,0,0,0.4214061,0,0,0,0
35:35.8,727.5453,1885.345,0,0,0.3858949,0,0,0,0
35:36.7,659.9357,1891.228,0,0,0.3489456,0,0,0,0
35:37.7,600.5856,1894.978,0,0,0.3169353,0,0,0,0
35:38.6,547.0811,1896.102,0,0,0.2885293,0,0,0,0
35:39.5,503.446,1894.983,0,0,0.2656731,0,0,0,0
35:40.4,464.9287,1891.22,0,0,0.2458353,0,0,0,0
35:41.3,430.433,1884.625,0,0,0.2283918,0,0,0,0
35:42.2,401.5947,1875.208,0,0,0.2141601,0,0,0,0
35:43.1,378.5326,1863.269,0,0,0.2031551,0,0,0,0
35:43.9,361.2341,1849.463,0,0,0.1953183,0,0,0,0
35:44.8,348.2991,1832.729,0,0,0.1900439,0,0,0,0
35:48.4,327.1025,1771.108,0,0,0.1846881,0,0,0,0
35:49.4,334.2521,1742.166,0,0,0.1918601,0,0,0,0
35:50.4,345.5922,1711.357,0,0,0.2019404,0,0,0,0
35:51.4,362.111,1680.544,0,0,0.2154724,0,0,0,0
35:52.3,381.4716,1650.354,0,0,0.2311453,0,0,0,0
35:53.3,404.2665,1619.511,0,0,0.2496226,0,0,0,0
35:54.3,432.0263,1589.187,0,0,0.2718537,0,0,0,0
35:55.4,461.9053,1560.298,0,0,0.2960367,0,0,0,0
35:56.3,491.5045,1534.102,0,0,0.3203858,0,0,0,0
35:57.2,521.6023,1511.865,0,0,0.3450059,0,0,0,0
35:58.1,559.7114,1486.224,0,0,0.3765996,0,0,0,0
35:59.1,602.5233,1460.178,0,0,0.412637,0,0,0,0
36:00.1,644.6961,1436.694,0,0,0.448736,0,0,0,0
36:01.1,690.9406,1413.187,0,0,0.4889236,0,0,0,0
36:02.0,739.883,1389.871,0,0,0.5323394,0,0,0,0
36:03.1,792.6101,1366.241,0,0,0.5801393,0,0,0,0
36:04.1,844.4489,1344.515,0,0,0.6280695,0,0,0,0
36:05.0,891.2224,1325.911,0,0,0.6721585,0,0,0,0
36:05.9,935.0336,1309.436,0,0,0.7140736,0,0,0,0
36:06.8,978.2225,1294.408,0,0,0.7557297,0,0,0,0
36:07.7,1021.534,1280.825,0,0,0.7975593,0,0,0,0
36:08.6,1062.968,1269.933,0,0,0.8370268,0,0,0,0
36:09.5,1098.582,1262.92,0,0,0.8698748,0,0,0,0
36:10.4,1129.968,1259.491,0,0,0.8971627,0,0,0,0
36:11.3,1158.962,1259.276,0,0,0.9203397,0,0,0,0
36:12.2,1181.109,1263.412,0,0,0.934857,0,0,0,0
36:13.0,1200.806,1270.97,0,0,0.9447945,0,0,0,0
36:13.8,1214.524,1284.573,0,0,0.9454693,0,0,0,0
36:14.7,1224.251,1303.919,0,0,0.9389007,0,0,0,0
36:15.6,1229.623,1327.33,0,0,0.9263886,0,0,0,0
36:16.6,1229.401,1354.994,0,0,0.9073111,0,0,0,0
36:17.6,1227.561,1383.08,0,0,0.8875563,0,0,0,0
36:18.4,1219.968,1416.01,0,0,0.8615535,0,0,0,0
36:19.3,1209.947,1450.825,0,0,0.8339716,0,0,0,0
36:20.3,1197.134,1486.993,0,0,0.80507,0,0,0,0
36:21.2,1182.106,1524.062,0,0,0.7756285,0,0,0,0
36:22.1,1166.865,1559.103,0,0,0.7484206,0,0,0,0
36:23.0,1151.237,1590.445,0,0,0.7238454,0,0,0,0
36:23.9,1134.191,1620.852,0,0,0.6997499,0,0,0,0
36:24.8,1116.688,1648.109,0,0,0.677557,0,0,0,0
36:25.7,1101.318,1670.206,0,0,0.6593907,0,0,0,0
36:26.5,1086.537,1685.195,0,0,0.6447543,0,0,0,0
36:27.3,1071.126,1698.469,0,0,0.6306423,0,0,0,0
36:28.2,1057.348,1704.929,0,0,0.6201711,0,0,0,0
36:29.1,1044.572,1707.095,0,0,0.6119004,0,0,0,0
36:30.0,1034.432,1704.963,0,0,0.6067181,0,0,0,0
36:30.9,1024.849,1695.711,0,0,0.6043774,0,0,0,0
36:31.7,1017.503,1681.275,0,0,0.6051974,0,0,0,0
36:32.6,1010.703,1660.737,0,0,0.6085872,0,0,0,0
36:33.6,1005.58,1635.931,0,0,0.6146836,0,0,0,0
36:34.5,1002.096,1610.221,0,0,0.6223345,0,0,0,0
36:35.3,998.672,1578.624,0,0,0.6326218,0,0,0,0
36:36.2,995.1952,1548.185,0,0,0.642814,0,0,0,0
36:37.1,990.963,1512.244,0,0,0.6552933,0,0,0,0
36:38.0,985.3369,1474.557,0,0,0.6682258,0,0,0,0
36:38.9,979.5614,1442.392,0,0,0.6791226,0,0,0,0
36:39.7,970.1348,1406.267,0,0,0.6898651,0,0,0,0
36:40.6,958.2725,1373.397,0,0,0.6977388,0,0,0,0
36:41.5,942.7936,1340.354,0,0,0.7033914,0,0,0,0
36:42.4,922.2405,1307.087,0,0,0.7055696,0,0,0,0
36:43.3,901.2486,1278.529,0,0,0.7049107,0,0,0,0
36:44.2,876.728,1252.138,0,0,0.7001851,0,0,0,0
36:45.0,847.6913,1226.45,0,0,0.6911747,0,0,0,0
36:45.9,813.5989,1201.869,0,0,0.6769449,0,0,0,0
36:46.8,778.7535,1180.517,0,0,0.6596715,0,0,0,0
36:47.8,743.7575,1162.013,0,0,0.6400596,0,0,0,0
36:48.6,784.6442,1187.623,0,0,0.6606846,0,0,0,0
36:49.4,751.2656,1168.411,0,0,0.6429808,0,0,0,0
36:50.3,714.5688,1149.835,0,0,0.6214533,0,0,0,0
36:51.2,676.8969,1132.87,0,0,0.5975061,0,0,0,0
36:52.1,638.1538,1116.884,0,0,0.5713697,0,0,0,0
36:53.0,602.5382,1103.001,0,0,0.5462717,0,0,0,0
36:53.9,566.7494,1089.522,0,0,0.5201816,0,0,0,0
36:54.8,531.1368,1076.513,0,0,0.4933864,0,0,0,0
36:55.8,492.8978,1062.844,0,0,0.4637536,0,0,0,0
36:56.8,459.1813,1051.031,0,0,0.4368868,0,0,0,0
36:57.7,427.159,1040.392,0,0,0.4105753,0,0,0,0
36:58.6,400.9171,1031.787,0,0,0.3885656,0,0,0,0
36:59.5,373.465,1022.92,0,0,0.3650969,0,0,0,0
37:00.4,346.5121,1014.295,0,0,0.3416285,0,0,0,0
37:01.3,324.52,1007.294,0,0,0.3221703,0,0,0,0
37:02.1,303.6005,1000.744,0,0,0.3033747,0,0,0,0
37:03.0,283.4732,994.4166,0,0,0.2850649,0,0,0,0
37:03.9,265.1741,988.4719,0,0,0.2682667,0,0,0,0
37:04.9,247.6581,982.1888,0,0,0.2521491,0,0,0,0
37:05.8,235.5904,976.9544,0,0,0.2411478,0,0,0,0
37:06.7,226.3486,971.7121,0,0,0.2329379,0,0,0,0
37:07.6,219.4844,965.9552,0,0,0.2272201,0,0,0,0
37:08.5,216.3809,960.2836,0,0,0.2253302,0,0,0,0
37:09.5,216.9436,953.5215,0,0,0.2275183,0,0,0,0
37:10.5,221.3283,946.9052,0,0,0.2337386,0,0,0,0
37:11.5,228.4243,940.5593,0,0,0.2428601,0,0,0,0
37:12.4,239.3608,933.3305,0,0,0.2564588,0,0,0,0
37:13.3,252.9362,926.1047,0,0,0.2731183,0,0,0,0
37:14.3,268.6332,918.9288,0,0,0.292333,0,0,0,0
37:15.2,285.8978,912.0061,0,0,0.3134823,0,0,0,0
37:16.1,306.8576,904.6876,0,0,0.3391862,0,0,0,0
37:17.1,330.6304,897.396,0,0,0.3684331,0,0,0,0
37:18.0,355.7247,890.7515,0,0,0.3993535,0,0,0,0
37:19.0,382.3829,884.6716,0,0,0.4322315,0,0,0,0
37:19.9,407.3226,879.7725,0,0,0.4629863,0,0,0,0
37:20.8,434.0906,875.4298,0,0,0.4958599,0,0,0,0
37:21.8,460.9121,871.8264,0,0,0.5286742,0,0,0,0
37:22.7,485.9679,869.3035,0,0,0.5590314,0,0,0,0
37:23.6,507.6926,867.6399,0,0,0.585142,0,0,0,0
37:24.5,530.5982,866.5591,0,0,0.6123047,0,0,0,0
