TempID,10020912,RRI Analyzer Ver1.0.49,âêÕÉâÉCÉuÉâÉä Ver1.1.3
RRI
acc_mode,
Time,RRI,temperature,Acc_x,Acc_y,Acc_z,HR_Instant,Body Motion
2024/01/28 14:37:08.030,708,32.125,0.125,-1.0625,-0.0625,84,0.07165176
2024/01/28 14:37:08.747,717,32.125,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:37:09.508,761,32.125,0.125,-1.0625,-0.03125,78,0.07028399
2024/01/28 14:37:10.269,762,32.125,0.125,-1.0625,-0.0625,78,0.07165176
2024/01/28 14:37:11.043,775,32.125,0.125,-1.0625,-0.03125,77,0.07028399
2024/01/28 14:37:11.723,681,32.125,0.125,-1.03125,-0.0625,88,0.04067661
2024/01/28 14:37:12.402,679,32.0625,0.125,-1.0625,-0.03125,88,0.07028399
2024/01/28 14:37:13.086,685,32.0625,0.125,-1.0625,-0.03125,87,0.07028399
2024/01/28 14:37:13.828,743,32.0625,0.125,-1.0625,-0.0625,80,0.07165176
2024/01/28 14:37:14.633,804,32.0625,0.15625,-1.0625,-0.0625,74,0.07574465
2024/01/28 14:37:15.386,752,32.0625,0.125,-1.0625,-0.0625,79,0.07165176
2024/01/28 14:37:16.107,720,32.1875,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:37:16.847,740,32.1875,0.125,-1.0625,-0.03125,81,0.07028399
2024/01/28 14:37:17.626,780,32.1875,0.125,-1.0625,-0.0625,76,0.07165176
2024/01/28 14:37:18.413,788,32.1875,0.125,-1.0625,-0.03125,76,0.07028399
2024/01/28 14:37:19.149,738,32.1875,0.125,-1.0625,-0.03125,81,0.07028399
2024/01/28 14:37:19.848,700,32.1875,0.125,-1.0625,-0.03125,85,0.07028399
2024/01/28 14:37:20.549,702,32.1875,0.09375,-1.0625,-0.03125,85,0.06708569
2024/01/28 14:37:21.272,724,32.1875,0.125,-1.0625,-0.0625,82,0.07165176
2024/01/28 14:37:22.046,774,32.1875,0.125,-1.0625,-0.0625,77,0.07165176
2024/01/28 14:37:22.804,758,32.1875,0.125,-1.03125,-0.0625,79,0.04067661
2024/01/28 14:37:23.508,703,32.1875,0.125,-1.0625,-0.0625,85,0.07165176
2024/01/28 14:37:24.189,680,32.125,0.125,-1.0625,-0.0625,88,0.07165176
2024/01/28 14:37:24.875,685,32.125,0.125,-1.03125,-0.03125,87,0.03926807
2024/01/28 14:37:25.598,717,32.125,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:37:26.348,745,32.125,0.125,-1.0625,-0.0625,80,0.07165176
2024/01/28 14:37:27.148,794,32.125,0.125,-1.0625,-0.0625,75,0.07165176
2024/01/28 14:37:27.849,707,32.125,0.125,-1.0625,-0.03125,84,0.07028399
2024/01/28 14:37:28.534,691,32.1875,0.125,-1.0625,-0.0625,86,0.07165176
2024/01/28 14:37:29.211,683,32.1875,0.125,-1.0625,-0.03125,87,0.07028399
2024/01/28 14:37:29.935,718,32.1875,0.125,-1.0625,-0.03125,83,0.07028399
2024/01/28 14:37:30.676,736,32.1875,0.125,-1.0625,-0.03125,81,0.07028399
2024/01/28 14:37:31.444,762,32.1875,0.125,-1.0625,-0.0625,78,0.07165176
2024/01/28 14:37:32.138,701,32.1875,0.125,-1.03125,-0.03125,85,0.03926807
2024/01/28 14:37:32.812,681,32.1875,0.125,-1.0625,-0.0625,88,0.07165176
2024/01/28 14:37:33.491,686,32.1875,0.125,-1.0625,-0.03125,87,0.07028399
2024/01/28 14:37:34.206,713,32.1875,0.125,-1.0625,-0.03125,84,0.07028399
2024/01/28 14:37:34.915,708,32.1875,0.125,-1.0625,-0.0625,84,0.07165176
2024/01/28 14:37:35.629,713,32.1875,0.125,-1.0625,-0.0625,84,0.07165176
2024/01/28 14:37:36.306,679,32.3125,0.125,-1.0625,-0.0625,88,0.07165176
2024/01/28 14:37:36.973,668,32.3125,0.125,-1.0625,-0.03125,89,0.07028399
2024/01/28 14:37:37.691,719,32.3125,0.09375,-1.0625,-0.03125,83,0.06708569
2024/01/28 14:37:38.461,770,32.3125,0.125,-1.0625,-0.0625,77,0.07165176
2024/01/28 14:37:39.245,785,32.3125,0.125,-1.0625,-0.0625,76,0.07165176
2024/01/28 14:37:39.971,727,32.1875,0.125,-1.0625,-0.0625,82,0.07165176
2024/01/28 14:37:40.672,699,32.1875,0.125,-1.0625,-0.03125,85,0.07028399
2024/01/28 14:37:41.425,752,32.1875,0.09375,-1.0625,-0.0625,79,0.06845756
2024/01/28 14:37:42.187,761,32.1875,0.09375,-1.0625,-0.0625,78,0.06845756
2024/01/28 14:37:42.954,764,32.1875,0.125,-1.03125,-0.03125,78,0.03926807
2024/01/28 14:37:43.672,716,32.1875,0.125,-1.0625,-0.03125,83,0.07028399
2024/01/28 14:37:44.373,699,32.25,0.125,-1.0625,-0.03125,85,0.07028399
2024/01/28 14:37:45.077,707,32.25,0.125,-1.0625,-0.03125,84,0.07028399
2024/01/28 14:37:45.816,741,32.25,0.125,-1.0625,-0.0625,80,0.07165176
2024/01/28 14:37:46.587,773,32.25,0.125,-1.0625,-0.03125,77,0.07028399
2024/01/28 14:37:47.389,801,32.25,0.125,-1.0625,-0.03125,74,0.07028399
2024/01/28 14:37:48.130,741,32.25,0.125,-1.0625,-0.0625,80,0.07165176
2024/01/28 14:37:48.851,721,32.25,0.125,-1.03125,-0.0625,83,0.04067661
2024/01/28 14:37:49.572,721,32.25,0.125,-1.0625,-0.03125,83,0.07028399
2024/01/28 14:37:50.332,761,32.25,0.125,-1.0625,-0.03125,78,0.07028399
2024/01/28 14:37:51.131,800,32.25,0.125,-1.0625,-0.0625,75,0.07165176
2024/01/28 14:37:51.908,774,32.25,0.125,-1.0625,-0.03125,77,0.07028399
2024/01/28 14:37:52.630,720,32.25,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:37:53.331,699,32.25,0.125,-1.03125,-0.03125,85,0.03926807
2024/01/28 14:37:54.068,739,32.25,0.125,-1.0625,-0.03125,81,0.07028399
2024/01/28 14:37:54.847,782,32.25,0.125,-1.0625,-0.0625,76,0.07165176
2024/01/28 14:37:55.700,857,32.25,0.125,-1.0625,-0.0625,70,0.07165176
2024/01/28 14:37:56.487,787,32.3125,0.125,-1.0625,-0.0625,76,0.07165176
2024/01/28 14:37:57.268,781,32.3125,0.125,-1.0625,-0.03125,76,0.07028399
2024/01/28 14:37:58.123,855,32.3125,0.09375,-1.03125,-0.0625,70,0.03738704
2024/01/28 14:37:58.978,855,32.3125,0.125,-1.03125,-0.0625,70,0.04067661
2024/01/28 14:37:59.821,844,32.3125,0.125,-1.03125,-0.0625,71,0.04067661
2024/01/28 14:38:00.603,783,32.375,0.125,-1.0625,-0.03125,76,0.07028399
2024/01/28 14:38:01.397,793,32.375,0.125,-1.0625,-0.09375,75,0.07392752
2024/01/28 14:38:02.223,826,32.375,0.125,-1.0625,-0.0625,72,0.07165176
2024/01/28 14:38:03.075,852,32.375,0.125,-1.0625,-0.03125,70,0.07028399
2024/01/28 14:38:03.918,841,32.375,0.125,-1.0625,-0.03125,71,0.07028399
2024/01/28 14:38:04.698,779,32.3125,0.125,-1.0625,-0.0625,77,0.07165176
2024/01/28 14:38:05.460,761,32.3125,0.125,-1.0625,-0.03125,78,0.07028399
2024/01/28 14:38:06.283,822,32.3125,0.125,-1.0625,-0.03125,72,0.07028399
2024/01/28 14:38:07.146,862,32.3125,0.09375,-1.0625,-0.03125,69,0.06708569
2024/01/28 14:38:08.028,881,32.3125,0.125,-1.0625,-0.03125,68,0.07028399
2024/01/28 14:38:08.886,860,32.375,0.125,-1.03125,-0.0625,69,0.04067661
2024/01/28 14:38:09.696,812,32.375,0.125,-1.0625,-0.03125,73,0.07028399
2024/01/28 14:38:10.557,863,32.375,0.125,-1.0625,-0.0625,69,0.07165176
2024/01/28 14:38:11.439,881,32.375,0.125,-1.0625,-0.0625,68,0.07165176
2024/01/28 14:38:12.322,881,32.4375,0.125,-1.0625,-0.0625,68,0.07165176
2024/01/28 14:38:13.139,815,32.4375,0.125,-1.0625,-0.0625,73,0.07165176
2024/01/28 14:38:13.937,798,32.4375,0.125,-1.0625,-0.03125,75,0.07028399
2024/01/28 14:38:14.777,841,32.4375,0.125,-1.0625,-0.0625,71,0.07165176
2024/01/28 14:38:15.652,876,32.4375,0.125,-1.0625,-0.03125,68,0.07028399
2024/01/28 14:38:16.536,885,32.375,0.125,-1.0625,-0.0625,67,0.07165176
2024/01/28 14:38:17.392,857,32.375,0.125,-1.0625,-0.03125,70,0.07028399
2024/01/28 14:38:18.229,838,32.375,0.125,-1.0625,-0.03125,71,0.07028399
2024/01/28 14:38:19.089,860,32.375,0.125,-1.03125,-0.0625,69,0.04067661
2024/01/28 14:38:19.934,844,32.375,0.125,-1.0625,-0.0625,71,0.07165176
2024/01/28 14:38:20.755,820,32.4375,0.125,-1.0625,-0.0625,73,0.07165176
2024/01/28 14:38:21.557,801,32.4375,0.125,-1.03125,-0.03125,74,0.03926807
2024/01/28 14:38:22.397,840,32.4375,0.125,-1.0625,-0.0625,71,0.07165176
2024/01/28 14:38:23.236,839,32.4375,0.09375,-1.03125,-0.0625,71,0.03738704
