Var1,Var2
0,941
0.899999999999977,925
1.79999999999995,889
2.79999999999995,936
3.69999999999993,954
4.29999999999995,544
4.5,274
5.29999999999995,766
6.10000000000002,781
6.79999999999995,744
7.5,729
8.29999999999995,784
9.19999999999993,854
10,798
10.8,830
11.6,840
12.5,850
13.3,779
14.1,809
14.9,849
15.8,852
16.6,797
17.4,853
18.3,883
19.1999999999999,881
20,795
20.8,847
21.6999999999999,879
22.5,811
23.3,774
24.1,793
24.9,792
25.6999999999999,777
26.5,840
27.4,917
28.4,935
29.1999999999999,855
30.1,877
31,869
31.8,819
32.5,757
33.3,777
34.1,763
34.8,714
35.5,711
36.1999999999999,711
36.9,693
37.6,694
38.3,697
39,707
39.8,779
40.6,839
41.5,874
42.3,833
43.1999999999999,841
44,836
44.9,865
45.6999999999999,845
46.6,844
47.4,878
48.3,871
49.1999999999999,857
50.1,908
51,944
52,927
52.9,917
53.8,924
54.6999999999999,886
55.5,827
56.4,856
57.1999999999999,869
58.1,881
59,853
59.9,930
60.8,954
61.6999999999999,893
62.6999999999999,913
63.6,921
64.5,899
65.3,815
66.1,840
66.9,808
67.6999999999999,773
68.5,805
69.4,873
70.3,879
71.1,872
72,884
72.9,912
73.8,897
74.6,810
75.4,791
76.1999999999999,792
77,763
77.6999999999999,754
78.5,758
79.3,830
80.1999999999999,892
81.1,891
82,851
82.8,867
83.6999999999999,863
84.5,820
85.3,802
86.1,838
87,842
87.8,828
88.6,827
89.5,864
90.4,908
91.3,858
92.1,847
93,846
93.8,825
94.6,785
95.4,798
96.1999999999999,816
97,817
97.8,788
98.6,820
99.5,838
100.3,825
101.1,776
101.8,789
102.6,797
103.4,792
104.2,751
104.9,739
105.7,742
106.4,720
107.1,707
107.8,691
108.5,692
109.1,671
109.8,698
110.6,752
111.4,809
112.2,806
113,805
113.9,848
114.7,817
115.4,758
116.2,782
117,787
117.8,785
118.5,742
119.3,786
120.1,819
121,821
121.8,858
122.7,901
123.6,918
124.6,919
125.4,814
126.2,877
127.2,915
128.1,909
128.9,830
129.7,809
130.6,903
131.5,934
132.5,929
133.4,936
134.4,952
135.3,885
136.2,904
137.1,904
137.9,885
138.8,873
139.7,903
140.6,921
141.5,897
142.5,916
143.4,923
144.3,888
145.1,818
145.9,829
146.7,818
147.5,774
148.3,804
149.2,863
150.1,915
151,906
151.9,895
152.8,895
153.7,881
154.5,829
155.3,844
156.2,853
157,848
157.9,832
158.8,888
159.7,925
160.6,901
161.5,897
162.4,895
163.3,897
164.1,783
164.9,810
165.7,802
166.4,760
167.2,772
168,783
168.8,814
169.6,807
170.4,830
171.3,835
