Var1,Var2,Var3
63.549564,NaN,NaN
63.555021,3.232,3.039
63.563355,3.261,3.018
63.571688,3.253,3.052
63.58002,3.269,3.041
63.588353,3.28,3.048
63.596687,3.269,3.044
63.60502,3.275,3.057
63.613353,3.306,3.067
63.621687,3.286,3.062
63.63002,3.294,3.061
63.638352,3.299,3.063
63.646688,3.312,3.07
63.655021,3.329,3.087
63.663354,3.32,3.087
63.671688,3.322,3.06
63.680021,3.339,3.102
63.688354,3.339,3.087
63.696688,3.369,3.113
63.70502,3.343,3.122
63.713353,3.378,3.122
63.721687,3.38,3.101
63.73002,3.395,3.108
63.738353,3.394,3.117
63.746687,3.408,3.137
63.75502,3.419,3.147
63.763352,3.421,3.145
63.771686,3.433,3.145
63.780023,3.444,3.145
63.788356,3.453,3.185
63.79669,3.455,3.15
63.805023,3.461,3.175
63.813356,3.461,3.179
63.821689,3.464,3.198
63.830022,3.475,3.189
63.838355,3.484,3.179
63.846689,3.471,3.196
63.855022,3.484,3.199
63.863355,3.479,3.18
63.871689,3.465,3.191
63.880022,3.458,3.194
63.888354,3.445,3.185
63.896688,3.427,3.166
63.905024,3.414,3.14
63.913357,3.386,3.113
63.921691,3.368,3.108
63.930024,3.351,3.084
63.938357,3.317,3.069
63.94669,3.29,3.044
63.955023,3.266,3.021
63.963356,3.247,2.994
63.97169,3.227,2.946
63.980023,3.2,2.94
63.988356,3.173,2.907
63.99669,3.152,2.863
64.005022,3.122,2.882
64.013355,3.105,2.87
64.021689,3.087,2.828
64.030022,3.061,2.788
64.03836,3.032,2.786
64.046694,3.017,2.769
64.055027,3.007,2.715
64.063359,2.969,2.742
64.071692,2.935,2.698
64.080026,2.942,2.663
64.088359,2.923,2.671
64.096692,2.904,2.667
64.105026,2.874,2.651
64.113361,2.853,2.624
64.121694,2.847,2.615
64.130025,2.845,2.59
64.138358,2.814,2.591
64.146692,2.8,2.582
64.155025,2.783,2.542
64.163358,2.768,2.557
64.171694,2.775,2.544
64.180028,2.765,2.529
64.188362,2.743,2.531
64.196695,2.769,2.514
64.205029,2.73,2.499
64.21336,2.71,2.497
64.221693,2.706,2.497
64.230027,2.713,2.439
64.23836,2.685,2.476
64.246693,2.677,2.457
64.255026,2.683,2.456
64.263359,2.683,2.443
64.271692,2.682,2.454
64.280026,2.685,2.41
64.288359,2.651,2.442
64.296696,2.653,2.419
64.305032,2.655,2.418
64.313364,2.675,2.405
64.321697,2.633,2.43
64.330031,2.636,2.411
64.338364,2.615,2.433
64.346695,2.639,2.438
64.355029,2.655,2.349
64.363362,2.632,2.395
64.371694,2.616,2.38
64.380028,2.641,2.402
64.388361,2.603,2.375
64.396696,2.59,2.375
64.40503,2.611,2.364
64.413363,2.627,2.383
64.421694,2.617,2.378
64.430032,2.592,2.376
64.438364,2.6,2.384
64.446697,2.613,2.353
64.455032,2.612,2.356
64.463363,2.612,2.35
64.471696,2.587,2.366
64.48003,2.618,2.361
